asset_code,public_name,class,subtype,status,orig_views,deeptics_views,description,interfaces,posml,safety,compatibility,dof,payload_kg,sensor_default,controller_presets
DXW-MICRO,MicroRover-μ,wheeled,micro-diffdrive,proto,4427,0,Ultra-compact differential-drive rover for swarm & hallway SLAM.,"{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXW-MICRO.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1'],2,1.0,"['SM-RGBD', 'SM-IMU', 'SM-LiDAR-2D']","['EKF_fusion', 'DWA_planner', 'A*_global']"
DXW-SCOUT,ScoutRover,wheeled,diffdrive,proto,2121,0,"Small indoor/outdoor rover for mapping, nav, and sensor bring-up.","{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXW-SCOUT.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1'],2,4.0,"['SM-RGBD', 'SM-IMU', 'SM-LiDAR-2D']","['EKF_fusion', 'DWA_planner', 'A*_global']"
DXM-OMNIARM,OmniBase+Arm,mobile_manipulator,omni-base+5DoF,proto,2118,0,Compact omnidirectional base with light manipulator for Fetch tasks.,"{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXM-OMNIARM.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1'],10,3.0,"['SM-RGBD', 'SM-IMU', 'SM-LiDAR-2D']","['DWA_planner', 'A*_global', 'joint_space_PD']"
DXH-COMPACT,Humanoid-Compact,humanoid,small-biped,proto,2059,0,"Compact biped for balance, gesture, and HRI experiments.","{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-COMPACT.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1'],20,0.5,"['SM-RGBD', 'SM-IMU', 'SM-Stereo']","['gait_walk', 'push_recovery', 'whole_body_QP']"
DXA-5E,CollabArm-5e,manipulator,6DoF-collab,proto,2027,0,6‑DoF collaborative arm for pick/place and policy learning.,"{'control': ['CTRL-Manipulation'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXA-5E.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1'],6,5.0,"['SM-RGBD', 'SM-IMU', 'SM-FT', 'SM-Tactile']","['joint_space_PD', 'task_space_impedance', 'RRT_connect', 'IK_solvers']"
DXF-INSPECT,QuadRotor-Inspect,aerial,quadrotor,proto,1583,0,Stabilized quad for indoor/outdoor waypoint & inspection trials.,"{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXF-INSPECT.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1'],6,1.5,"['SM-IMU', 'SM-Stereo', 'SM-RGBD']","['LQR_attitude', 'waypoint_P', 'VIO_loops']"
DXW-MINI,MiniRover-TB,wheeled,mini-diffdrive,proto,1336,0,"Lightweight mini rover for education, ROS2, and quick prototyping.","{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXW-MINI.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1'],2,4.0,"['SM-RGBD', 'SM-IMU', 'SM-LiDAR-2D']","['EKF_fusion', 'DWA_planner', 'A*_global']"
DXA-10E,CollabArm-10e,manipulator,6DoF-collab-longreach,proto,1234,0,Extended‑reach 6‑DoF arm for palletizing and workspace coverage.,"{'control': ['CTRL-Manipulation'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXA-10E.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1'],6,10.0,"['SM-RGBD', 'SM-IMU', 'SM-FT', 'SM-Tactile']","['joint_space_PD', 'task_space_impedance', 'RRT_connect', 'IK_solvers']"
DXF-MICRO,MicroQuad,aerial,micro-quad,proto,1191,0,Palm‑sized quadrotor for VIO and constrained‑space flight.,"{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXF-MICRO.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1'],6,0.03,"['SM-IMU', 'SM-Stereo', 'SM-RGBD']","['LQR_attitude', 'waypoint_P', 'VIO_loops']"
DXQ-AGILE,Quadruped-Agile,legged,quadruped,proto,1172,0,Agile quad for foothold planning and uneven‑terrain traversal.,"{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXQ-AGILE.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1'],12,6.0,"['SM-RGBD', 'SM-IMU', 'SM-LiDAR-3D']","['gait_trot', 'gait_walk', 'whole_body_QP']"
DXW-P3DX,Rover-P3DX,wheeled,diffdrive-legacy,proto,987,0,Baseline diff‑drive platform for classical nav benchmarks.,"{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXW-P3DX.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1'],2,4.0,"['SM-RGBD', 'SM-IMU', 'SM-LiDAR-2D']","['EKF_fusion', 'DWA_planner', 'A*_global']"
DXW-K4,MicroRover-K4,wheeled,micro-diffdrive,proto,913,0,Micro research rover with tight‑space maneuverability.,"{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXW-K4.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1'],2,1.0,"['SM-RGBD', 'SM-IMU', 'SM-LiDAR-2D']","['EKF_fusion', 'DWA_planner', 'A*_global']"
DXA-IND4600,IndustArm-4600,manipulator,6DoF-industrial,proto,856,0,High‑payload industrial arm for cycle‑time and reach tests.,"{'control': ['CTRL-Manipulation'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXA-IND4600.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1'],6,60.0,"['SM-RGBD', 'SM-IMU', 'SM-FT', 'SM-Tactile']","['joint_space_PD', 'task_space_impedance', 'RRT_connect', 'IK_solvers']"
DXH-MINI3,Humanoid-Mini3,humanoid,small-biped,proto,822,0,Mini humanoid for locomotion primitives and vision‑in‑the‑loop.,"{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-MINI3.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1'],16,0.5,"['SM-RGBD', 'SM-IMU', 'SM-Stereo']","['gait_walk', 'push_recovery', 'whole_body_QP']"
DXH-MINI2,Humanoid-Mini2,humanoid,small-biped,proto,805,0,Prior‑gen mini humanoid for regression testing and curriculum.,"{'control': ['CTRL-Locomotion'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXH-MINI2.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1'],16,0.5,"['SM-RGBD', 'SM-IMU', 'SM-Stereo']","['gait_walk', 'push_recovery', 'whole_body_QP']"
DXM-TORSO,Tiago‑Class,mobile_manipulator,torso+arm,proto,756,0,Mobile manipulator with lifting torso for service‑robot tasks.,"{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXM-TORSO.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1'],10,3.0,"['SM-RGBD', 'SM-IMU', 'SM-LiDAR-2D']","['DWA_planner', 'A*_global', 'joint_space_PD']"
DXW-P3AT,Rover-P3AT,wheeled,all‑terrain,proto,753,0,All‑terrain variant for gravel/grass/incline navigation.,"{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXW-P3AT.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1'],2,4.0,"['SM-RGBD', 'SM-IMU', 'SM-LiDAR-2D']","['EKF_fusion', 'DWA_planner', 'A*_global']"
DXA-DESK,DeskArm‑N,manipulator,6DoF-desktop,proto,736,0,Desktop 6‑DoF arm for lab bench assembly and policy tests.,"{'control': ['CTRL-Manipulation'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXA-DESK.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1'],6,1.0,"['SM-RGBD', 'SM-IMU', 'SM-FT', 'SM-Tactile']","['joint_space_PD', 'task_space_impedance', 'RRT_connect', 'IK_solvers']"
DXW-SCOUTXL,ScoutRover‑XL,wheeled,diffdrive-heavy,proto,731,0,Large‑footprint rover for payloaded mapping and autonomy.,"{'control': ['NAV-SLAM'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXW-SCOUTXL.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1'],2,15.0,"['SM-RGBD', 'SM-IMU', 'SM-LiDAR-2D']","['EKF_fusion', 'DWA_planner', 'A*_global']"
DXA-P7,CollabArm‑P7,manipulator,7DoF-collab,proto,663,0,7‑DoF collaborative arm with rich redundancy for constrained reach.,"{'control': ['CTRL-Manipulation'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXA-P7.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1'],7,7.0,"['SM-RGBD', 'SM-IMU', 'SM-FT', 'SM-Tactile']","['joint_space_PD', 'task_space_impedance', 'RRT_connect', 'IK_solvers']"
DXA-3E,CollabArm‑3e,manipulator,6DoF-compact,proto,587,0,Compact 6‑DoF arm for tight workcells and benchtop tasks.,"{'control': ['CTRL-Manipulation'], 'sensors': ['SM-RGBD', 'SM-IMU'], 'telemetry': ['metrics.json', 'run.log']}","{'package': 'v0.1', 'manifest': 'DXA-3E.manifest.json', 'metrics': ['task_success_rate', 'energy_proxy', 'latency_ms']}","{'limits': True, 'workspace_guard': True, 'failsafe_halt': True}",['DX-Sim R0.1'],6,3.0,"['SM-RGBD', 'SM-IMU', 'SM-FT', 'SM-Tactile']","['joint_space_PD', 'task_space_impedance', 'RRT_connect', 'IK_solvers']"
